nb_projet_siret,annee_creation,kw_renovation,kw_energetique,kw_batiment,kw_ecole,kw_eclairage,kw_incendie,kw_mobilite,kw_isolation,kw_chauffage,kw_photovolta,kw_recyclage,kw_benef_commune,kw_benef_ville,kw_benef_departement,kw_benef_region,kw_benef_metropole,kw_benef_communaute,kw_benef_syndicat,kw_benef_association,kw_benef_territoires,kw_benef_public,categorie_entreprise_ETI,categorie_entreprise_GE,categorie_entreprise_PME,economie_sociale_solidaire_unite_legale_N,economie_sociale_solidaire_unite_legale_Non_renseigne,economie_sociale_solidaire_unite_legale_O,demarche,nom_region,nom_departement,code_departement,forme_juridique_beneficiaire,code_commune,nom_commune,siret,activite_principale,code_postal,tranche_effectifs_unite_legale,annee_creation_bin,montant_engage_log
1,1983,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.556163434330063,10.60945251035581,10.051445036665044,10.051445036665044,10.867898869298177,10.956584384951457,10.956584384951457,10.956584384951457,10.894518710219307,10.788280976697525,10.070993727253382,10.898415635135263,11.094773366269242
1,1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.556163434330063,10.469612630640494,11.135001547086743,11.135001547086743,10.867898869298177,11.10140197897475,11.10140197897475,11.10140197897475,10.894518710219307,10.974980200087694,10.410010136077346,10.898415635135263,12.20782610731712
1,2012,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,9.62757103997272,11.04404863079418,11.721013720708392,11.721013720708392,10.054441402351973,11.144320240756734,11.144320240756734,11.144320240756734,10.894518710219307,10.866762895676173,10.410010136077346,10.846105734621867,12.537691337019574
4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,9.62757103997272,11.04404863079418,11.721013720708392,11.721013720708392,10.054441402351973,10.60825920384485,10.60825920384485,10.60825920384485,10.298131021515712,10.60825920384485,10.070993727253382,10.846105734621867,7.573063527475581
1,1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.556163434330063,10.912202696038703,10.791039736291108,10.791039736291108,10.867898869298177,11.085844717038231,11.085844717038231,11.085844717038231,10.894518710219307,11.013098106418731,10.752045520711334,10.898415635135263,12.088254634262151
1,1983,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,11.556163434330063,11.110708772783159,10.69544065221592,10.69544065221592,10.867898869298177,10.677583648922566,10.677583648922566,10.677583648922566,10.894518710219307,10.677583648922566,10.752045520711334,10.898415635135263,8.95040315983296
1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,10.108186190520671,10.620143400852314,11.495749209573386,11.495749209573386,11.275106400876476,10.918347485366855,10.918347485366855,10.918347485366855,10.894518710219307,10.918347485366855,11.905517505015311,10.846105734621867,10.800888592261968
1,2005,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,9.69812101696013,10.620143400852314,10.642421107040914,10.642421107040914,10.867898869298177,10.779477534832298,10.779477534832298,10.779477534832298,10.894518710219307,10.779477534832298,10.410010136077346,11.208873210857517,9.733548811248815
3,1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,10.604141597915584,11.110708772783159,11.054217870830401,11.054217870830401,10.867898869298177,11.209061247036953,11.209061247036953,11.209061247036953,10.894518710219307,11.209061247036953,11.499769794966772,10.898415635135263,13.37356791075812
1,1983,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.556163434330063,11.04404863079418,10.553707547090898,10.553707547090898,10.867898869298177,11.031695857418722,11.031695857418722,11.031695857418722,10.894518710219307,11.031695857418722,10.752045520711334,10.898415635135263,11.672072215056804
1,1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,11.556163434330063,12.203846975112604,11.616306196128335,11.616306196128335,10.867898869298177,11.214638249851813,11.214638249851813,11.214638249851813,10.894518710219307,11.214638249851813,11.905517505015311,10.898415635135263,13.078148132315576
1,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,12.503609973389988,10.469612630640494,11.296431654305286,11.296431654305286,12.204878573813799,11.08552635083608,11.08552635083608,11.078489759988267,12.604124040527205,11.161921201843542,11.041263967128458,11.462832162125798,12.031725210748633
1,1983,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,11.556163434330063,10.975968081027128,11.411210824911484,11.411210824911484,10.867898869298177,10.959976574422537,10.959976574422537,10.959976574422537,10.894518710219307,10.959976574422537,10.752045520711334,10.898415635135263,11.120845376472186
1,1983,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,0.0,9.62757103997272,10.469612630640494,9.941796540009213,9.941796540009213,10.867898869298177,10.820142556451644,10.820142556451644,10.820142556451644,10.894518710219307,10.953420889886056,10.752045520711334,10.898415635135263,10.046095874908112
1,1983,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.556163434330063,11.069002998076362,11.007621578383619,11.007621578383619,10.867898869298177,11.158448193103483,11.158448193103483,11.158448193103483,10.894518710219307,11.125625449608764,10.070993727253382,10.898415635135263,12.646277287442235
1,2021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.941259552842595,11.069002998076362,11.20848693074786,11.20848693074786,10.628254886499958,10.764495972675551,10.764495972675551,10.764495972675551,10.894518710219307,10.942243008380325,11.041263967128458,10.99095797131906,9.618402105931613
1,1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.556163434330063,10.469612630640494,11.042370023948346,11.042370023948346,10.867898869298177,11.034712180395845,11.034712180395845,11.034712180395845,10.894518710219307,11.034712180395845,10.752045520711334,10.898415635135263,11.695255355062795
1,1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,10.01358307059093,10.469612630640494,10.582773196430457,10.582773196430457,10.867898869298177,10.862743526168888,10.862743526168888,10.862743526168888,10.894518710219307,10.862743526168888,10.752045520711334,10.898415635135263,10.373522431293592
4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,10.475322431255302,11.04404863079418,11.081903968983852,11.081903968983852,10.236398269268328,10.917345464356615,10.917345464356615,10.724718412187165,10.57819558377291,10.917345464356615,10.410010136077346,10.846105734621867,9.433563920090563
1,1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.286866842098139,11.289721514798648,11.163023389948714,11.163023389948714,10.867898869298177,11.011029193599368,11.011029193599368,11.011029193599368,10.894518710219307,10.895141183858351,10.752045520711334,10.898415635135263,11.513230418467185
1,1983,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,9.69812101696013,10.815375828204525,11.012171145234307,11.012171145234307,10.867898869298177,10.637652462056957,10.637652462056957,10.637652462056957,10.894518710219307,10.637652462056957,10.410010136077346,10.898415635135263,8.643496272628967
1,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,10.01358307059093,10.469612630640494,10.86455862493074,10.86455862493074,11.275106400876476,11.082770147524652,11.082770147524652,10.854346788696605,10.894518710219307,11.082770147524652,11.655759499038734,10.846105734621867,10.308985993422082
1,1983,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,11.556163434330063,11.069002998076362,11.306529943680195,11.306529943680195,10.867898869298177,10.857030938192906,10.857030938192906,10.993293626325706,10.894518710219307,10.80547611035886,11.273248658116424,10.898415635135263,11.376916720527866
1,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,10.604141597915584,10.815375828204525,11.00737330963005,11.00737330963005,11.275106400876476,11.054467963975846,11.054467963975846,10.778732660194015,10.894518710219307,11.054467963975846,11.655759499038734,11.208873210857517,9.72782378340624
